object	flow_latentbank_no_tte_auc	flowtte_latentbank_tte_auc	delta_auc_no_tte_minus_tte	flow_latentbank_no_tte_f1	flowtte_latentbank_tte_f1	delta_f1_no_tte_minus_tte	no_tte_initial_memory	no_tte_final_memory	tte_initial_memory	tte_final_memory
can	0.5769886923953981	0.619259369241956	-0.042270676846557885	0.0006091936847505426	0.0014590834669705865	-0.0008498897822200439	19968	19968	19968	24960
fabric	0.6876774910079563	0.5959375921932888	0.09173989881466752	0.2433555341753902	0.15757791502252913	0.08577761915286106	10944	10944	10944	13680
fruit_jelly	0.7167856662380315	0.6163667319257032	0.10041893431232824	0.289807873436122	0.1634858297996166	0.1263220436365054	12672	12672	12672	15840
rice	0.9264750082561124	0.9244228358040405	0.0020521724520719264	0.667107468843738	0.66628848238746	0.0008189864562780594	10944	10944	10944	13680
vial	0.6879313077268007	0.654681222541157	0.0332500851856437	0.33746133038060133	0.279501866958594	0.05795946342200733	12480	12480	12480	15600
wallplugs	0.7251538755459254	0.809637328059402	-0.0844834525134766	0.07258727643390184	0.1779030310198911	-0.10531575458598926	10944	10944	10944	13680
walnuts	0.8291770525653132	0.790068101944275	0.039108950621038195	0.48884539408590827	0.4347254277426909	0.05411996634321738	10944	10944	10944	13680
sheet_metal	0.7201937068889777	0.6892868313753105	0.030906875513667153	0.28044564640770075	0.24887498519041532	0.03157066121728543	16384	16384	16384	20480
mean	0.7337978500780645	0.7124575016356417	0.02134034844242283	0.2975274646810141	0.26622707769852094	0.031300386982493156	NA	NA	NA	NA
