method,object,baseline_AUROC_0.05,baseline_F1,method_AUROC_0.05,method_F1,delta_AUROC,delta_F1
Layer-wise no-context score fusion,can,0.5604954711155504,0.0006340936744871553,0.5606967541832636,0.0005760311648256846,0.00020128306771316495,-5.806250966147069e-05
Layer-wise no-context score fusion,fabric,0.968226542127862,0.69742683856755,0.9155338880768624,0.5533400860935943,-0.05269265405099954,-0.14408675247395564
Layer-wise no-context score fusion,fruit_jelly,0.7818733220123115,0.4814116980719225,0.8031207473590491,0.5269884276497243,0.021247425346737625,0.04557672957780179
Layer-wise no-context score fusion,rice,0.9471210858480409,0.7115536007779996,0.9465426341702405,0.7055749074646448,-0.0005784516778003512,-0.005978693313354766
Layer-wise no-context score fusion,vial,0.7462916188263256,0.4343595987250585,0.7432751792186575,0.42457343165965683,-0.0030164396076680644,-0.009786167065401696
Layer-wise no-context score fusion,wallplugs,0.908027507021568,0.6315387450037402,0.8851864101782292,0.5308496278975223,-0.022841096843338793,-0.10068911710621786
Layer-wise no-context score fusion,walnuts,0.8902377485794017,0.7332912327716696,0.8795225572190616,0.728640759711907,-0.01071519136034016,-0.004650473059762628
Layer-wise no-context score fusion,sheet_metal,0.8916385441675039,0.5292040186565834,0.8917988390335103,0.5223343069060218,0.0001602948660064385,-0.006869711750561613
Layer-wise CLS topM4 routed,can,0.5604954711155504,0.0006340936744871553,0.5564897088643739,0.0005511583853800614,-0.004005762251176548,-8.293528910709397e-05
Layer-wise CLS topM4 routed,fabric,0.968226542127862,0.69742683856755,0.9497489683179747,0.6544671787011264,-0.018477573809887238,-0.04295965986642358
Layer-wise CLS topM4 routed,fruit_jelly,0.7818733220123115,0.4814116980719225,0.8038995953650198,0.5161603334018977,0.022026273352708237,0.034748635329975186
Layer-wise CLS topM4 routed,rice,0.9471210858480409,0.7115536007779996,0.9450281569647816,0.7076477722958062,-0.002092928883259293,-0.003905828482193341
Layer-wise CLS topM4 routed,vial,0.7462916188263256,0.4343595987250585,0.73818324249758,0.4091157671599715,-0.008108376328745504,-0.025243831565087027
Layer-wise CLS topM4 routed,wallplugs,0.908027507021568,0.6315387450037402,0.8771396081628535,0.5197497909412604,-0.030887898858714458,-0.1117889540624798
Layer-wise CLS topM4 routed,walnuts,0.8902377485794017,0.7332912327716696,0.8773938157542545,0.7309573587657114,-0.012843932825147286,-0.002333874005958192
Layer-wise CLS topM4 routed,sheet_metal,0.8916385441675039,0.5292040186565834,0.8914998866171459,0.5322575415206501,-0.0001386575503580234,0.0030535228640666823
