variant,object,bad_component_count,bad_positive_area,bad_gt_overlap,bad_gt_recall
baseline,can,16.68888888888889,0.007066932839257268,0.008994936821344088,0.05127376643841428
baseline,fabric,11.255555555555556,0.015475541435468863,0.1427895618561594,0.43256117034292524
baseline,fruit_jelly,9.283333333333333,0.00858031015037594,0.444939888077002,0.45469111512654087
baseline,rice,1.2555555555555555,0.002410757913914987,0.46614871768338983,0.3726005250523863
baseline,vial,16.39047619047619,0.022266720372359466,0.4797296485161235,0.7284870251268196
baseline,wallplugs,1.2777777777777777,0.0015628590303308823,0.2674900574344332,0.1497494498786386
baseline,walnuts,5.411111111111111,0.012582424055776824,0.6146550336225693,0.45741913445672105
baseline,sheet_metal,5.133333333333334,0.004412842419619172,0.3523746374426126,0.16684723684064917
support_position_center,can,68.17777777777778,0.20884454105062727,0.00034540902176244295,0.39146161215501585
support_position_center,fabric,14.566666666666666,0.015071335337520426,0.11768074846658481,0.4010592114780912
support_position_center,fruit_jelly,13.616666666666667,0.01744967627401838,0.318474424330345,0.415908611834427
support_position_center,rice,1.2222222222222223,0.0023451905537967502,0.38435784937616546,0.3446559516640031
support_position_center,vial,13.447619047619048,0.01765550304332259,0.4116704190239139,0.3858706937516023
support_position_center,wallplugs,1.7444444444444445,0.0016046107118339232,0.2448215522649039,0.14002870099186193
support_position_center,walnuts,5.544444444444444,0.012776803520163853,0.5633572343102791,0.40622073873352
support_position_center,sheet_metal,10.71111111111111,0.009854560340622131,0.1680698915931793,0.16430575554137325
support_position_zscore,can,83.52222222222223,0.36164173534884014,0.0001481548170786742,0.48138802715995566
support_position_zscore,fabric,16.533333333333335,0.01307845105273012,0.10852222550840948,0.301247584234062
support_position_zscore,fruit_jelly,30.766666666666666,0.03543419486215538,0.15963077749042084,0.44154467901877353
support_position_zscore,rice,1.9111111111111112,0.0021611143734114016,0.3693382647097602,0.3063859438563483
support_position_zscore,vial,58.695238095238096,0.2905446401718582,0.06974532018033136,0.7653939047891641
support_position_zscore,wallplugs,5.477777777777778,0.0016776578705122096,0.14280630859953025,0.09496982189234804
support_position_zscore,walnuts,33.56666666666667,0.045375523120489515,0.16039431253384023,0.2713426165711354
support_position_zscore,sheet_metal,23.3,0.07232835028393149,0.05514471101584676,0.27850463625379135
foreground_energy,can,14.655555555555555,0.005556007667824075,0.014897302415334683,0.050829321993969834
foreground_energy,fabric,9.366666666666667,0.015016627536793073,0.17121672655654493,0.4336923706799099
foreground_energy,fruit_jelly,9.233333333333333,0.008648219507101089,0.44309769879116073,0.45687768420189445
foreground_energy,rice,1.5666666666666667,0.0024102880717535857,0.46370545767173726,0.3791894920254051
foreground_energy,vial,16.276190476190475,0.02235262799856785,0.4790470548253918,0.729075907397963
foreground_energy,wallplugs,1.6111111111111112,0.0014849405835829703,0.26755719831718416,0.13259297544342627
foreground_energy,walnuts,5.588888888888889,0.013002019700747776,0.5731153645499497,0.45717917300588923
foreground_energy,sheet_metal,8.11111111111111,0.004691111916194776,0.37505014265699393,0.26587932197165703
center_plus_foreground,can,40.766666666666666,0.03361866965041318,0.0030205785820766676,0.12910019542283926
center_plus_foreground,fabric,10.955555555555556,0.014510838017571033,0.15471520133465017,0.4196678302204157
center_plus_foreground,fruit_jelly,13.083333333333334,0.017188685254803677,0.3211912705582858,0.415908611834427
center_plus_foreground,rice,1.4333333333333333,0.0024133952354813454,0.4709249861502658,0.36895317778020503
center_plus_foreground,vial,13.761904761904763,0.015597841031149303,0.43581518285296506,0.4666084081426333
center_plus_foreground,wallplugs,1.211111111111111,0.0015366187888639251,0.2788804763639081,0.1559069367682178
center_plus_foreground,walnuts,5.877777777777778,0.013293020432637751,0.6060584368397766,0.45454918113172516
center_plus_foreground,sheet_metal,7.044444444444444,0.005245877333945515,0.33514238558018394,0.20323190200788904
