variant,object,seg_AUROC_0.05,seg_F1,delta_AUROC_vs_baseline,delta_F1_vs_baseline
baseline,can,0.5604954711155504,0.0006340936744871553,0.0,0.0
baseline,fabric,0.968226542127862,0.69742683856755,0.0,0.0
baseline,fruit_jelly,0.7818733220123115,0.4814116980719225,0.0,0.0
baseline,rice,0.9471210858480409,0.7115536007779996,0.0,0.0
baseline,vial,0.7462916188263256,0.4343595987250585,0.0,0.0
baseline,wallplugs,0.908027507021568,0.6315387450037402,0.0,0.0
baseline,walnuts,0.8902377485794017,0.7332912327716696,0.0,0.0
baseline,sheet_metal,0.8916385441675039,0.5292040186565834,0.0,0.0
support_position_center,can,0.49916649927925916,0.00020869566570668648,-0.06132897183629127,-0.0004253980087804689
support_position_center,fabric,0.9508421832439853,0.6417784647136108,-0.017384358883876683,-0.05564837385393917
support_position_center,fruit_jelly,0.7283879149955768,0.3095319374071587,-0.053485407016734765,-0.17187976066476385
support_position_center,rice,0.9481792084005581,0.7017467359885932,0.0010581225525172488,-0.0098068647894064
support_position_center,vial,0.5687727170008281,0.14927975567759436,-0.17751890182549745,-0.28507984304746414
support_position_center,wallplugs,0.8918453479671549,0.6176792798121535,-0.016182159054413114,-0.01385946519158665
support_position_center,walnuts,0.8571837614197236,0.6643644323272236,-0.03305398715967811,-0.06892680044444599
support_position_center,sheet_metal,0.8366851431837079,0.3526320453936863,-0.054953400983795975,-0.1765719732628971
support_position_zscore,can,0.48717948717948717,0.00014775107972089064,-0.07331598393606326,-0.0004863425947662647
support_position_zscore,fabric,0.9332576394187324,0.5679604139207648,-0.03496890270912956,-0.12946642464678515
support_position_zscore,fruit_jelly,0.6605258630283459,0.20294695584106365,-0.1213474589839656,-0.2784647422308589
support_position_zscore,rice,0.9437004857847566,0.6834896275778866,-0.0034206000632842626,-0.028063973200113
support_position_zscore,vial,0.4878290657136002,0.06036521356537622,-0.25846255311272537,-0.3739943851596823
support_position_zscore,wallplugs,0.863980847289217,0.4598399907461044,-0.044046659732351,-0.1716987542576358
support_position_zscore,walnuts,0.6296622273218258,0.1709985842676539,-0.260575521257576,-0.5622926485040157
support_position_zscore,sheet_metal,0.6085010858040076,0.07939998732961166,-0.28313745836349624,-0.4498040313269717
foreground_energy,can,0.570005324956526,0.0007792425002660828,0.00950985384097558,0.00014514882577892744
foreground_energy,fabric,0.9731211563163658,0.7247878850098692,0.0048946141885037875,0.027361046442319292
foreground_energy,fruit_jelly,0.781941186076655,0.4814913908066791,6.786406434344805e-05,7.969273475655347e-05
foreground_energy,rice,0.943834752344284,0.7099033967296877,-0.003286333503756844,-0.001650204048311843
foreground_energy,vial,0.74651681266684,0.4344745874423923,0.00022519384051444824,0.00011498871733378602
foreground_energy,wallplugs,0.8909812369509252,0.5708849528940834,-0.017046270070642744,-0.06065379210965682
foreground_energy,walnuts,0.8907884306000297,0.7113651304332455,0.0005506820206279128,-0.02192610233842418
foreground_energy,sheet_metal,0.879593857585135,0.5807699762286157,-0.012044686582368902,0.051565957572032306
center_plus_foreground,can,0.5387780228909879,0.00038281455695697564,-0.021717448224562563,-0.0002512791175301797
center_plus_foreground,fabric,0.9627682060805851,0.6964481847806298,-0.005458336047276857,-0.0009786537869201917
center_plus_foreground,fruit_jelly,0.7297079350017619,0.3120762514006302,-0.052165387010549624,-0.1693354466712923
center_plus_foreground,rice,0.9485298121400476,0.7095818008541569,0.0014087262920067234,-0.0019717999238426653
center_plus_foreground,vial,0.5997523978967848,0.2074401350503287,-0.14653922092954075,-0.22691946367472982
center_plus_foreground,wallplugs,0.9024365302790414,0.6337435165717612,-0.005590976742526621,0.0022047715680210134
center_plus_foreground,walnuts,0.890214561462387,0.7052442412274228,-2.3187117014766834e-05,-0.028046991544246835
center_plus_foreground,sheet_metal,0.8985240534610258,0.5079855860718616,0.006885509293521941,-0.02121843258472178
